genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""PIK3CA""
",7636454,snv,intron_variant,3,3:179225280," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",D,,NC_000003.12
"[1] ""PCGF3""        ""LOC107986246""
",11729193,snv,intron_variant,4,4:740563," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000004.12
"[1] ""GAK""
",75072999,snv,"downstream_transcript_variant,synonymous_variant,genic_downstream_transcript_variant,coding_sequence_variant",4,4:850993," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""Korea1K""        ""MGP""           
[13] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",R,,NC_000004.12
"[1] ""CC2D2A""       ""LOC124900671""
",11941559,snv,"intron_variant,genic_downstream_transcript_variant",4,4:15564251," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",S,,NC_000004.12
"[1] ""LCORL""
",7673321,snv,intron_variant,4,4:17956065," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",W,,NC_000004.12
"[1] ""FAM47E""       ""FAM47E-STBD1""
",6854006,snv,intron_variant,4,4:76276901," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000004.12
"[1] ""MMRN1""
",79214011,snv,intron_variant,4,4:89938128," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",R,,NC_000004.12
"[1] ""CCSER1""
",75541595,snv,intron_variant,4,4:90290373," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOPMED""         ""TWINSUK""       
[13] ""ALFA""          
",R,,NC_000004.12
"[1] ""SV2C""         ""LOC105379042""
",246815,snv,"intron_variant,genic_downstream_transcript_variant",5,5:76303351," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",S,,NC_000005.10
,9461359,snv,,6,6:27331788," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000006.12
,12528068,snv,,6,6:71778059," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000006.12
"[1] ""FYN""
",9487736,snv,"intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant",6,6:111847106," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",V,,NC_000006.12
"[1] ""SLC18B1""
",41286192,snv,"upstream_transcript_variant,genic_upstream_transcript_variant,missense_variant,coding_sequence_variant",6,6:132797077," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""ExAC""           ""FINRISK""        ""GENOME_DK""      ""GnomAD""        
 [9] ""GnomAD_exomes""  ""GoESP""          ""GoNL""           ""KOREAN""        
[13] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",R,,NC_000006.12
"[1] ""LOC105379297""
",34096562,snv,"intron_variant,genic_downstream_transcript_variant",8,8:16843772," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",B,,NC_000008.11
"[1] ""PDLIM2""
",11783129,snv,"3_prime_UTR_variant,genic_downstream_transcript_variant",8,8:22595913," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",V,,NC_000008.11
"[1] ""ITGA8""
",13664,snv,"3_prime_UTR_variant,genic_downstream_transcript_variant",10,10:15514323," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000010.11
,2178923,snv,,10,10:119699575," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,,NC_000010.11
"[1] ""RNF141""
",4910150,snv,"downstream_transcript_variant,500B_downstream_variant",11,11:10511626," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""Vietnamese""    
[17] ""ALFA""          
",B,,NC_000011.10
"[1] ""DLG2""
",6592142,snv,"genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant",11,11:83798730," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",Y,,NC_000011.10
"[1] ""CNTN1""
",73273590,snv,"intron_variant,genic_upstream_transcript_variant",12,12:40861076," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",W,,NC_000012.12
,34773022,snv,,12,12:122638867," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000012.12
"[1] ""HIP1R""
",10847864,snv,"intron_variant,genic_upstream_transcript_variant",12,12:122842051," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000012.12
,1078514,snv,,13,13:109810821," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000013.11
"[1] ""MIPOL1""
",1956438,snv,"3_prime_UTR_variant,intron_variant,genic_downstream_transcript_variant",14,14:37539010," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000014.9
"[1] ""LINC01147""
",1561758,snv,intron_variant,14,14:88021226," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",S,,NC_000014.9
"[1] ""SETD1A""
",1870293,snv,intron_variant,16,16:30959620," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000016.10
"[1] ""ITGA2B""
",850731,snv,intron_variant,17,17:44376902," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",Y,benign,NC_000017.11
"[1] ""ARHGAP27""
",8327,snv,"non_coding_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant",17,17:45395141," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""MGP""            ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000017.11
"[1] ""MAPT""
",713522,snv,intron_variant,17,17:45987897," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000017.11
"[1] ""NSF""      ""LRRC37A2""
",199453,snv,"intron_variant,genic_downstream_transcript_variant",17,17:46723580," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000017.11
"[1] ""BRIP1""
",61169879,snv,intron_variant,17,17:61840005," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000017.11
,8091977,snv,,18,18:33779450," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000018.10
"[1] ""SPPL2B""
",55818311,snv,intron_variant,19,19:2341049," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GnomAD""         ""GnomAD_exomes""  ""GoESP""         
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",B,,NC_000019.10
"[1] ""LOC101927745""
",1736020,snv,"genic_upstream_transcript_variant,intron_variant",21,21:15440233," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000021.9
"[1] ""DYRK1A""       ""LOC105372797""
",2248244,snv,"genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant",21,21:37480059," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000021.9
"[1] ""CASC16""
",3104776,snv,intron_variant,16,16:52597550," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GoNL""          
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",N,,NC_000016.10
,113487377,snv,,16,16:52922415," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",R,,NC_000016.10
,11650438,snv,,17,17:16330946," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",D,,NC_000017.11
"[1] ""MLX""
",665268,snv,"coding_sequence_variant,missense_variant",17,17:42570011," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,benign,NC_000017.11
"[1] ""FMNL1-DT""
",62066707,snv,intron_variant,17,17:45196625," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",W,,NC_000017.11
"[1] ""LINC02210-CRHR1"" ""LOC105371802""   
",62053943,snv,intron_variant,17,17:45666837," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000017.11
"[1] ""LINC02210-CRHR1""
",7225082,snv,intron_variant,17,17:45771129," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000017.11
